source_sheet,date,maintenance_type,area,equipment,trouble_description,action,start_time,stop_time,status,is_weather_station
Januari 2025,2025-01-25,Corrective,Inverter,INV 209,Alarm Low Insulation Resistance,Troubleshooting by insulation resistance retest. Found a problematic MC4 connection. Have not yet replaced the MC4 connection because we are still waiting for spare material.,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-26,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-27,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-28,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-28,Preventive,PLTS 20 kV Substation,MV Switchgear,External Outage,Request outage OG.1 GSK.3 due to repair work of A3CS Medium Voltage Air Line (SUTM) cable that was detached from the insulator and fell into the traves,15:15:00,17:55:00,Close,False
Januari 2025,2025-01-29,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-29,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Earth fault stage 1 on OG.3 due to auto reclose at NST.5 in GIS Substation,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",14:07:00,15:00:00,Close,False
Januari 2025,2025-01-30,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Januari 2025,2025-01-30,Preventive,PLTS 20 kV Substation,MV Switchgear,External Outage,Request Outage OG.4 NST.2 due to relocation of Medium Voltage Cable Line (SKTM) affected by the KIPP Project and Rest Poll Jumper Configuration,12:00:00,23:04:00,Close,False
Januari 2025,2025-01-31,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-01,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-01,Corrective,Powerhouse,PC SCADA,PC SCADA OWS-1 Totally Crash and Failed to Startup,SCADA access and monitoring is temporarily using the OWS-2 PC.,15:45:00,15:45:00,Open,False
Februari 2025,2025-02-02,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-03,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-03,Corrective,PLTS 20 kV Substation,MV Switchgear,External Trip Earth fault stage 1 on OG.5 due to auto reclose at NST.3 in GIS Substation,"Normal shutdown, Reset alarm relay, Close CB, and Normal start",10:30:00,14:52:00,Close,False
Februari 2025,2025-02-03,Corrective,Powerhouse,"PCS BESS 1, PCS BESS 2, & PCS BESS 3",PCS BESS unable to operate normally due to Idle Initializing state,"PCS units in all three BESS systems have experienced a shutdown fault.caused by a disturbance in the Heating, Ventilation, and Air Conditioning (HVAC) system.",09:00:00,16:00:00,Close,False
Februari 2025,2025-02-04,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-04,Preventive,PLTS 20 kV Substation,"MV Switchgear, STS 1 - 5",External Outage,"Request outage OG.4 and Busbar 1 due to repair of the cable line network at medium voltage (SKTM) at OG.1, OG.2 and OG.4",10:39:00,22:10:00,Close,False
Februari 2025,2025-02-04,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-05,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-06,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-06,Preventive,PLTS 20 kV Substation,MV Switchgear,External Outage,Request outage OG.3 and OG.5 due to repair of the cable line network at medium voltage (SKTM) at OG.5 and LBS installation in OG.3,10:43:00,20:10:00,Close,False
Februari 2025,2025-02-07,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-08,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-09,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
Februari 2025,2025-02-10,Preventive,PV Module,PV Table,Mowing and Herbicide,Mowing to cut the plants and spray herbicide that impact to shading,09:00:00,16:00:00,Close,False
